title;regular_price;meta:unit;meta:sqm_per_unit;images;description;short_description;sku;meta:color;meta:length;meta:width;meta:toplayer_height;meta:height;meta:dessin;meta:type;meta:weight_per_sqm;meta:way_of_application;brand;collection;serie;categories
Therdex Rustique kleur 15055;49.95;pak;3.468;https://test.vloerenraamdecor.nl/import-images/therdex/15055.jpg;;;T15055;;151.7;22.8;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Rustique;;"Vloeren > PVC Vloeren > Therdexn > Rustique; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 7551;59.95;pak;1.08;https://test.vloerenraamdecor.nl/import-images/therdex/7551.jpg;;;TC7551;;74.3;14.5;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 7552;59.95;pak;1.08;https://test.vloerenraamdecor.nl/import-images/therdex/7552.jpg;;;TC7552;;74.3;14.5;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 7553;59.95;pak;1.08;https://test.vloerenraamdecor.nl/import-images/therdex/7553.jpg;;;TC7553;;74.3;14.5;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 7554;59.95;pak;1.08;https://test.vloerenraamdecor.nl/import-images/therdex/7554.jpg;;;TC7554;;74.3;14.5;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 7555;59.95;pak;1.08;https://test.vloerenraamdecor.nl/import-images/therdex/7555.jpg;;;TC7555;;74.3;14.5;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 15051;59.95;pak;2.139;https://test.vloerenraamdecor.nl/import-images/therdex/15051.jpg;;;TC15051;;151.77;22.86;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 15052;59.95;pak;2.139;https://test.vloerenraamdecor.nl/import-images/therdex/15052.jpg;;;TC15052;;151.77;22.86;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 15053;59.95;pak;2.139;https://test.vloerenraamdecor.nl/import-images/therdex/15053.jpg;;;TC15053;;151.77;22.86;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 15054;59.95;pak;2.139;https://test.vloerenraamdecor.nl/import-images/therdex/15054.jpg;;;TC15054;;151.77;22.86;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Rustique Click kleur 15055;59.95;pak;2.139;https://test.vloerenraamdecor.nl/import-images/therdex/15055.jpg;;;TC15055;;151.77;22.86;0.55;6;registered embossed;;;Click;Therdexn;Rustique Click;;"Vloeren > PVC Vloeren > Therdexn > Rustique Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Concrete 100x100 kleur 10012;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10012.jpg;;;T10012;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Concrete 100x100 kleur 10013;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10013.jpg;;;T10013;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Concrete 100x100 kleur 10016;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10016.jpg;;;T10016;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Rustique 100x100 kleur 10021;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10021.jpg;;;T10021;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Rustique 100x100 kleur 10022;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10022.jpg;;;T10022;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Rustique 100x100 kleur 10023;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10023.jpg;;;T10023;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Rustique 100x100 kleur 10024;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10024.jpg;;;T10024;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Amato 90x45 kleur 4511;49.95;pak;3.763;https://test.vloerenraamdecor.nl/import-images/therdex/4511.jpg;;;T4511;;91.44;45.72;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Amato 90x45 kleur 4512;49.95;pak;3.763;https://test.vloerenraamdecor.nl/import-images/therdex/4512.jpg;;;T4512;;91.44;45.72;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Amato 90x90 kleur 9011;49.95;pak;4.181;https://test.vloerenraamdecor.nl/import-images/therdex/9011.jpg;;;T9011;;91.44;91.44;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Amato 90x90 kleur 9012;49.95;pak;4.181;https://test.vloerenraamdecor.nl/import-images/therdex/9012.jpg;;;T9012;;91.44;91.44;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Graphic 100x100 kleur 10031;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10031.jpg;;;T10031;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Graphic 100x100 kleur 10032;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10032.jpg;;;T10032;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Graphic 100x100 kleur 10033;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10033.jpg;;;T10033;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Graphic 100x100 kleur 10034;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10034.jpg;;;T10034;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Dynamic 100x100 kleur 10041;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10041.jpg;;;T10041;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Dynamic 100x100 kleur 10042;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10042.jpg;;;T10042;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Dynamic 100x100 kleur 10043;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10043.jpg;;;T10043;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Dynamic 100x100 kleur 10044;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10044.jpg;;;T10044;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Unique 100x100 kleur 10051;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10051.jpg;;;T10051;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Unique 100x100 kleur 10052;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10052.jpg;;;T10052;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Unique 100x100 kleur 10053;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10053.jpg;;;T10053;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 2 Unique 100x100 kleur 10054;49.95;pak;4;https://test.vloerenraamdecor.nl/import-images/therdex/10054.jpg;;;T10054;;100;100;0.55;2.5;universal embossed;;4315;Dryback;Therdexn;Stone;;"Vloeren > PVC Vloeren > Therdexn > Stone; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Concrete Click  91x45 kleur 10013;59.95;pak;1.638;https://test.vloerenraamdecor.nl/import-images/therdex/10013.jpg;;;TC10013;;90.8;45.1;0.55;6;universal embossed;;9500;Click;Therdexn;Stone Click;;"Vloeren > PVC Vloeren > Therdexn > Stone Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Concrete Click  91x45 kleur 10016;59.95;pak;1.638;https://test.vloerenraamdecor.nl/import-images/therdex/10016.jpg;;;TC10016;;90.8;45.1;0.55;6;universal embossed;;9500;Click;Therdexn;Stone Click;;"Vloeren > PVC Vloeren > Therdexn > Stone Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Amato Click  91x45 kleur 4511;59.95;pak;1.638;https://test.vloerenraamdecor.nl/import-images/therdex/4511.jpg;;;TC4511;;90.8;45.1;0.55;6;universal embossed;;9500;Click;Therdexn;Stone Click;;"Vloeren > PVC Vloeren > Therdexn > Stone Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Amato Click  91x45 kleur 4512;59.95;pak;1.638;https://test.vloerenraamdecor.nl/import-images/therdex/4512.jpg;;;TC4512;;90.8;45.1;0.55;6;universal embossed;;9500;Click;Therdexn;Stone Click;;"Vloeren > PVC Vloeren > Therdexn > Stone Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Rustique Click 91x45 kleur 10022;59.95;pak;1.638;https://test.vloerenraamdecor.nl/import-images/therdex/10022.jpg;;;TC10022;;90.8;45.1;0.55;6;universal embossed;;9500;Click;Therdexn;Stone Click;;"Vloeren > PVC Vloeren > Therdexn > Stone Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Stone 1 Rustique Click 91x45 kleur 10023;59.95;pak;1.638;https://test.vloerenraamdecor.nl/import-images/therdex/10023.jpg;;;TC10023;;90.8;45.1;0.55;6;universal embossed;;9500;Click;Therdexn;Stone Click;;"Vloeren > PVC Vloeren > Therdexn > Stone Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4001;49.95;pak;1.404;https://test.vloerenraamdecor.nl/import-images/therdex/4001.jpg;;;T4001;;40.64;10.16;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4003;49.95;pak;1.404;https://test.vloerenraamdecor.nl/import-images/therdex/4003.jpg;;;T4003;;40.64;10.16;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4005;49.95;pak;1.404;https://test.vloerenraamdecor.nl/import-images/therdex/4005.jpg;;;T4005;;40.64;10.16;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4007;49.95;pak;1.404;https://test.vloerenraamdecor.nl/import-images/therdex/4007.jpg;;;T4007;;40.64;10.16;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4010;49.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/4010.jpg;;;T4010;;121.9;22.8;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4030;49.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/4030.jpg;;;T4030;;121.9;22.8;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4050;49.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/4050.jpg;;;T4050;;121.9;22.8;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis kleur 4070;49.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/4070.jpg;;;T4070;;121.9;22.8;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Tapis;;"Vloeren > PVC Vloeren > Therdexn > Tapis; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis Click kleur 4010;59.95;pak;1.617;https://test.vloerenraamdecor.nl/import-images/therdex/4010.jpg;;;TC4010;;121.3;22.2;0.55;6;registered embossed;;9500;Click;Therdexn;Tapis Click;;"Vloeren > PVC Vloeren > Therdexn > Tapis Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis Click kleur 4030;59.95;pak;1.617;https://test.vloerenraamdecor.nl/import-images/therdex/4030.jpg;;;TC4030;;121.3;22.2;0.55;6;registered embossed;;9500;Click;Therdexn;Tapis Click;;"Vloeren > PVC Vloeren > Therdexn > Tapis Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis Click kleur 4050;59.95;pak;1.617;https://test.vloerenraamdecor.nl/import-images/therdex/4050.jpg;;;TC4050;;121.3;22.2;0.55;6;registered embossed;;9500;Click;Therdexn;Tapis Click;;"Vloeren > PVC Vloeren > Therdexn > Tapis Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Tapis Click kleur 4070;59.95;pak;1.617;https://test.vloerenraamdecor.nl/import-images/therdex/4070.jpg;;;TC4070;;121.3;22.2;0.55;6;registered embossed;;9500;Click;Therdexn;Tapis Click;;"Vloeren > PVC Vloeren > Therdexn > Tapis Click; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18010;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18010.jpg;;;T18010;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18040;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18040.jpg;;;T18040;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18050;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18050.jpg;;;T18050;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18060;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18060.jpg;;;T18060;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18070;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18070.jpg;;;T18070;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18080;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18080.jpg;;;T18080;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18090;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18090.jpg;;;T18090;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex XstraLong kleur 18100;59.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/18100.jpg;;;T18100;;182.9;22.8;0.55;3;registered embossed;;5178;Dryback;Therdexn;XstraLong;;"Vloeren > PVC Vloeren > Therdexn > XstraLong; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
